;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_ARM_desc;We've had a good run, but it's time to end our rulership of Armenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARN_title;Grant Aragon Independence;;;;;;;;;;;;x,,
gtfo_ARN_desc;We've had a good run, but it's time to end our rulership of Aragon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARW_title;Grant Arawak Independence;;;;;;;;;;;;x,,
gtfo_ARW_desc;We've had a good run, but it's time to end our rulership of Arawak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;x,,
gtfo_ASH_desc;We've had a good run, but it's time to end our rulership of Ashanti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASM_title;Grant Assam Independence;;;;;;;;;;;;x,,
gtfo_ASM_desc;We've had a good run, but it's time to end our rulership of Assam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AST_title;Grant Australia Independence;;;;;;;;;;;;x,,
gtfo_AST_desc;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATM_title;Grant Antemoro Independence;;;;;;;;;;;;x,,
gtfo_ATM_desc;We've had a good run, but it's time to end our rulership of Antemoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUA_title;Grant Awngthim Independence;;;;;;;;;;;;x,,
gtfo_AUA_desc;We've had a good run, but it's time to end our rulership of Awngthim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUE_title;Grant Eora Independence;;;;;;;;;;;;x,,
gtfo_AUE_desc;We've had a good run, but it's time to end our rulership of Eora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUI_title;Grant Kamilaroi Independence;;;;;;;;;;;;x,,
gtfo_AUI_desc;We've had a good run, but it's time to end our rulership of Kamilaroi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUK_title;Grant Kaurna Independence;;;;;;;;;;;;x,,
gtfo_AUK_desc;We've had a good run, but it's time to end our rulership of Kaurna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUL_title;Grant Larrakia Independence;;;;;;;;;;;;x,,
gtfo_AUL_desc;We've had a good run, but it's time to end our rulership of Larrakia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUP_title;Grant Palawa Independence;;;;;;;;;;;;x,,
gtfo_AUP_desc;We've had a good run, but it's time to end our rulership of Palawa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUS_title;Grant Austria Independence;;;;;;;;;;;;x,,
gtfo_AUS_desc;We've had a good run, but it's time to end our rulership of Austria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWA_title;Grant Oudh Independence;;;;;;;;;;;;x,,
gtfo_AWA_desc;We've had a good run, but it's time to end our rulership of Oudh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWS_title;Grant Aussa Independence;;;;;;;;;;;;x,,
gtfo_AWS_desc;We've had a good run, but it's time to end our rulership of Aussa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AYR_title;Grant Air Independence;;;;;;;;;;;;x,,
gtfo_AYR_desc;We've had a good run, but it's time to end our rulership of Air: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAL_title;Grant Bali Independence;;;;;;;;;;;;x,,
gtfo_BAL_desc;We've had a good run, but it's time to end our rulership of Bali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BEN_title;Grant Benin Independence;;;;;;;;;;;;x,,
gtfo_BEN_desc;We've had a good run, but it's time to end our rulership of Benin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BKF_title;Grant Wagadugu Independence;;;;;;;;;;;;x,,
gtfo_BKF_desc;We've had a good run, but it's time to end our rulership of Wagadugu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BLC_title;Grant Baluchistan Independence;;;;;;;;;;;;x,,
gtfo_BLC_desc;We've had a good run, but it's time to end our rulership of Baluchistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNJ_title;Grant Banjar Independence;;;;;;;;;;;;x,,
gtfo_BNJ_desc;We've had a good run, but it's time to end our rulership of Banjar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOL_title;Grant Portuguese Peru Independence;;;;;;;;;;;;x,,
gtfo_BOL_desc;We've had a good run, but it's time to end our rulership of Portuguese Peru: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOS_title;Grant Bosnia Independence;;;;;;;;;;;;x,,
gtfo_BOS_desc;We've had a good run, but it's time to end our rulership of Bosnia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRD_title;Grant Burundi Independence;;;;;;;;;;;;x,,
gtfo_BRD_desc;We've had a good run, but it's time to end our rulership of Burundi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRT_title;Grant Brittany Independence;;;;;;;;;;;;x,,
gtfo_BRT_desc;We've had a good run, but it's time to end our rulership of Brittany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;x,,
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRZ_title;Grant Spanish Brazil Independence;;;;;;;;;;;;x,,
gtfo_BRZ_desc;We've had a good run, but it's time to end our rulership of Spanish Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUG_title;Grant Buganda Independence;;;;;;;;;;;;x,,
gtfo_BUG_desc;We've had a good run, but it's time to end our rulership of Buganda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUL_title;Grant Bulgaria Independence;;;;;;;;;;;;x,,
gtfo_BUL_desc;We've had a good run, but it's time to end our rulership of Bulgaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUR_title;Grant Taungu Independence;;;;;;;;;;;;x,,
gtfo_BUR_desc;We've had a good run, but it's time to end our rulership of Taungu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAB_title;Grant Carib Independence;;;;;;;;;;;;x,,
gtfo_CAB_desc;We've had a good run, but it's time to end our rulership of Carib: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAM_title;Grant Khmer Independence;;;;;;;;;;;;x,,
gtfo_CAM_desc;We've had a good run, but it's time to end our rulership of Khmer: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CCQ_title;Grant Calchaqui Independence;;;;;;;;;;;;x,,
gtfo_CCQ_desc;We've had a good run, but it's time to end our rulership of Calchaqui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CDL_title;Grant Dali Independence;;;;;;;;;;;;x,,
gtfo_CDL_desc;We've had a good run, but it's time to end our rulership of Dali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CGS_title;Grant Changsheng Independence;;;;;;;;;;;;x,,
gtfo_CGS_desc;We've had a good run, but it's time to end our rulership of Changsheng: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHA_title;Grant Champa Independence;;;;;;;;;;;;x,,
gtfo_CHA_desc;We've had a good run, but it's time to end our rulership of Champa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHC_title;Grant Chu Independence;;;;;;;;;;;;x,,
gtfo_CHC_desc;We've had a good run, but it's time to end our rulership of Chu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHG_title;Grant Chagatai Independence;;;;;;;;;;;;x,,
gtfo_CHG_desc;We've had a good run, but it's time to end our rulership of Chagatai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHM_title;Grant Chimu Independence;;;;;;;;;;;;x,,
gtfo_CHM_desc;We've had a good run, but it's time to end our rulership of Chimu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHU_title;Grant Chukchi Independence;;;;;;;;;;;;x,,
gtfo_CHU_desc;We've had a good run, but it's time to end our rulership of Chukchi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CIR_title;Grant Circassia Independence;;;;;;;;;;;;x,,
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Circassia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CKW_title;Grant Chokwe Independence;;;;;;;;;;;;x,,
gtfo_CKW_desc;We've had a good run, but it's time to end our rulership of Chokwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRA_title;Grant Charca Independence;;;;;;;;;;;;x,,
gtfo_CRA_desc;We've had a good run, but it's time to end our rulership of Charca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRI_title;Grant Crimea Independence;;;;;;;;;;;;x,,
gtfo_CRI_desc;We've had a good run, but it's time to end our rulership of Crimea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRO_title;Grant Croatia Independence;;;;;;;;;;;;x,,
gtfo_CRO_desc;We've had a good run, but it's time to end our rulership of Croatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSH_title;Grant Shun Independence;;;;;;;;;;;;x,,
gtfo_CSH_desc;We've had a good run, but it's time to end our rulership of Shun: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSU_title;Grant Cusco Independence;;;;;;;;;;;;x,,
gtfo_CSU_desc;We've had a good run, but it's time to end our rulership of Cusco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CWU_title;Grant Wu Independence;;;;;;;;;;;;x,,
gtfo_CWU_desc;We've had a good run, but it's time to end our rulership of Wu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CXI_title;Grant Xi Independence;;;;;;;;;;;;x,,
gtfo_CXI_desc;We've had a good run, but it's time to end our rulership of Xi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYA_title;Grant Chachapoya Independence;;;;;;;;;;;;x,,
gtfo_CYA_desc;We've had a good run, but it's time to end our rulership of Chachapoya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYI_title;Grant Yi Independence;;;;;;;;;;;;x,,
gtfo_CYI_desc;We've had a good run, but it's time to end our rulership of Yi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAI_title;Grant Dai Viet Independence;;;;;;;;;;;;x,,
gtfo_DAI_desc;We've had a good run, but it's time to end our rulership of Dai Viet: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAW_title;Grant Dawasir Independence;;;;;;;;;;;;x,,
gtfo_DAW_desc;We've had a good run, but it's time to end our rulership of Dawasir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DEC_title;Grant Deccan Independence;;;;;;;;;;;;x,,
gtfo_DEC_desc;We've had a good run, but it's time to end our rulership of Deccan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DEN_title;Grant Denmark Independence;;;;;;;;;;;;x,,
gtfo_DEN_desc;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DGB_title;Grant Dagbon Independence;;;;;;;;;;;;x,,
gtfo_DGB_desc;We've had a good run, but it's time to end our rulership of Dagbon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLH_title;Grant Delhi Independence;;;;;;;;;;;;x,,
gtfo_DLH_desc;We've had a good run, but it's time to end our rulership of Delhi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLM_title;Grant Dalmatia Independence;;;;;;;;;;;;x,,
gtfo_DLM_desc;We've had a good run, but it's time to end our rulership of Dalmatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DOM_title;Grant Caraibas Independence;;;;;;;;;;;;x,,
gtfo_DOM_desc;We've had a good run, but it's time to end our rulership of Caraibas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EGY_title;Grant Egypt Independence;;;;;;;;;;;;x,,
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Egypt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENG_title;Grant Great Britain Independence;;;;;;;;;;;;x,,
gtfo_ENG_desc;We've had a good run, but it's time to end our rulership of Great Britain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EST_title;Grant Estonia Independence;;;;;;;;;;;;x,,
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Estonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETH_title;Grant Ethiopia Independence;;;;;;;;;;;;x,,
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Ethiopia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FER_title;Grant Ferrara Independence;;;;;;;;;;;;x,,
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Ferrara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FIN_title;Grant Finland Independence;;;;;;;;;;;;x,,
gtfo_FIN_desc;We've had a good run, but it's time to end our rulership of Finland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLA_title;Grant Flanders Independence;;;;;;;;;;;;x,,
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FUL_title;Grant Fulo Independence;;;;;;;;;;;;x,,
gtfo_FUL_desc;We've had a good run, but it's time to end our rulership of Fulo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GDW_title;Grant Garha Independence;;;;;;;;;;;;x,,
gtfo_GDW_desc;We've had a good run, but it's time to end our rulership of Garha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;x,,
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;x,,
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GER_title;Grant Germany Independence;;;;;;;;;;;;x,,
gtfo_GER_desc;We've had a good run, but it's time to end our rulership of Germany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHR_title;Grant Garhwal Independence;;;;;;;;;;;;x,,
gtfo_GHR_desc;We've had a good run, but it's time to end our rulership of Garhwal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLC_title;Grant Galicia Independence;;;;;;;;;;;;x,,
gtfo_GLC_desc;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOC_title;Grant Golkonda Independence;;;;;;;;;;;;x,,
gtfo_GOC_desc;We've had a good run, but it's time to end our rulership of Golkonda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRE_title;Grant Greece Independence;;;;;;;;;;;;x,,
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRH_title;Grant Great Horde Independence;;;;;;;;;;;;x,,
gtfo_GRH_desc;We've had a good run, but it's time to end our rulership of Great Horde: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRI_title;Grant Guarani Independence;;;;;;;;;;;;x,,
gtfo_GRI_desc;We've had a good run, but it's time to end our rulership of Guarani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRJ_title;Grant Garjat Independence;;;;;;;;;;;;x,,
gtfo_GRJ_desc;We've had a good run, but it's time to end our rulership of Garjat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUJ_title;Grant Gujarat Independence;;;;;;;;;;;;x,,
gtfo_GUJ_desc;We've had a good run, but it's time to end our rulership of Gujarat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GYN_title;Grant Gascony Independence;;;;;;;;;;;;x,,
gtfo_GYN_desc;We've had a good run, but it's time to end our rulership of Gascony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GZK_title;Grant Gazikumukh Independence;;;;;;;;;;;;x,,
gtfo_GZK_desc;We've had a good run, but it's time to end our rulership of Gazikumukh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAR_title;Grant Harar Independence;;;;;;;;;;;;x,,
gtfo_HAR_desc;We've had a good run, but it's time to end our rulership of Harar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAT_title;Grant Hainaut Independence;;;;;;;;;;;;x,,
gtfo_HAT_desc;We've had a good run, but it's time to end our rulership of Hainaut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAU_title;Grant Hausa Independence;;;;;;;;;;;;x,,
gtfo_HAU_desc;We've had a good run, but it's time to end our rulership of Hausa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDJ_title;Grant Hejaz Independence;;;;;;;;;;;;x,,
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hejaz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HES_title;Grant Hesse Independence;;;;;;;;;;;;x,,
gtfo_HES_desc;We've had a good run, but it's time to end our rulership of Hesse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSC_title;Grant Gaeldom Independence;;;;;;;;;;;;x,,
gtfo_HSC_desc;We've had a good run, but it's time to end our rulership of Gaeldom: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSK_title;Grant Hosokawa Independence;;;;;;;;;;;;x,,
gtfo_HSK_desc;We've had a good run, but it's time to end our rulership of Hosokawa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUN_title;Grant Hungary Independence;;;;;;;;;;;;x,,
gtfo_HUN_desc;We've had a good run, but it's time to end our rulership of Hungary: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ICL_title;Grant Iceland Independence;;;;;;;;;;;;x,,
gtfo_ICL_desc;We've had a good run, but it's time to end our rulership of Iceland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IPR_title;Grant Indrapura Independence;;;;;;;;;;;;x,,
gtfo_IPR_desc;We've had a good run, but it's time to end our rulership of Indrapura: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRQ_title;Grant Iraq Independence;;;;;;;;;;;;x,,
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Iraq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ITA_title;Grant Italy Independence;;;;;;;;;;;;x,,
gtfo_ITA_desc;We've had a good run, but it's time to end our rulership of Italy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAP_title;Grant Japan Independence;;;;;;;;;;;;x,,
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Japan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JER_title;Grant Jerusalem Independence;;;;;;;;;;;;x,,
gtfo_JER_desc;We've had a good run, but it's time to end our rulership of Jerusalem: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JGD_title;Grant Junagarh Independence;;;;;;;;;;;;x,,
gtfo_JGD_desc;We've had a good run, but it's time to end our rulership of Junagarh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIM_title;Grant Jimma Independence;;;;;;;;;;;;x,,
gtfo_JIM_desc;We've had a good run, but it's time to end our rulership of Jimma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIN_title;Grant Jin Independence;;;;;;;;;;;;x,,
gtfo_JIN_desc;We've had a good run, but it's time to end our rulership of Jin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JNN_title;Grant Jenné Independence;;;;;;;;;;;;x,,
gtfo_JNN_desc;We've had a good run, but it's time to end our rulership of Jenné: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JOH_title;Grant Johor Independence;;;;;;;;;;;;x,,
gtfo_JOH_desc;We've had a good run, but it's time to end our rulership of Johor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAF_title;Grant Kaffa Independence;;;;;;;;;;;;x,,
gtfo_KAF_desc;We've had a good run, but it's time to end our rulership of Kaffa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAS_title;Grant Kashmir Independence;;;;;;;;;;;;x,,
gtfo_KAS_desc;We've had a good run, but it's time to end our rulership of Kashmir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAZ_title;Grant Kazakh Independence;;;;;;;;;;;;x,,
gtfo_KAZ_desc;We've had a good run, but it's time to end our rulership of Kazakh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KBO_title;Grant Kanem Bornu Independence;;;;;;;;;;;;x,,
gtfo_KBO_desc;We've had a good run, but it's time to end our rulership of Kanem Bornu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KCX_title;Grant Koch Independence;;;;;;;;;;;;x,,
gtfo_KCX_desc;We've had a good run, but it's time to end our rulership of Koch: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KER_title;Grant Cornwall Independence;;;;;;;;;;;;x,,
gtfo_KER_desc;We've had a good run, but it's time to end our rulership of Cornwall: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHA_title;Grant Mongolia Independence;;;;;;;;;;;;x,,
gtfo_KHA_desc;We've had a good run, but it's time to end our rulership of Mongolia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHI_title;Grant Khiva Independence;;;;;;;;;;;;x,,
gtfo_KHI_desc;We've had a good run, but it's time to end our rulership of Khiva: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHO_title;Grant Khorasan Independence;;;;;;;;;;;;x,,
gtfo_KHO_desc;We've had a good run, but it's time to end our rulership of Khorasan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIE_title;Grant Kiev Independence;;;;;;;;;;;;x,,
gtfo_KIE_desc;We've had a good run, but it's time to end our rulership of Kiev: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLK_title;Grant Khalkha Independence;;;;;;;;;;;;x,,
gtfo_KLK_desc;We've had a good run, but it's time to end our rulership of Khalkha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KMC_title;Grant Kamchadals Independence;;;;;;;;;;;;x,,
gtfo_KMC_desc;We've had a good run, but it's time to end our rulership of Kamchadals: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNG_title;Grant Kong Independence;;;;;;;;;;;;x,,
gtfo_KNG_desc;We've had a good run, but it's time to end our rulership of Kong: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNI_title;Grant The Knights Independence;;;;;;;;;;;;x,,
gtfo_KNI_desc;We've had a good run, but it's time to end our rulership of The Knights: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOI_title;Grant Mann Independence;;;;;;;;;;;;x,,
gtfo_KOI_desc;We've had a good run, but it's time to end our rulership of Mann: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KON_title;Grant Kongo Independence;;;;;;;;;;;;x,,
gtfo_KON_desc;We've had a good run, but it's time to end our rulership of Kongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;x,,
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRC_title;Grant Korchin Independence;;;;;;;;;;;;x,,
gtfo_KRC_desc;We've had a good run, but it's time to end our rulership of Korchin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSJ_title;Grant Kasanje Independence;;;;;;;;;;;;x,,
gtfo_KSJ_desc;We've had a good run, but it's time to end our rulership of Kasanje: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KUB_title;Grant Kuba Independence;;;;;;;;;;;;x,,
gtfo_KUB_desc;We've had a good run, but it's time to end our rulership of Kuba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZB_title;Grant Kazembe Independence;;;;;;;;;;;;x,,
gtfo_KZB_desc;We've had a good run, but it's time to end our rulership of Kazembe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAN_title;Grant Lanfang Independence;;;;;;;;;;;;x,,
gtfo_LAN_desc;We've had a good run, but it's time to end our rulership of Lanfang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBA_title;Grant Luba Independence;;;;;;;;;;;;x,,
gtfo_LBA_desc;We've had a good run, but it's time to end our rulership of Luba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LIT_title;Grant Lithuania Independence;;;;;;;;;;;;x,,
gtfo_LIT_desc;We've had a good run, but it's time to end our rulership of Lithuania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNG_title;Grant Liang Independence;;;;;;;;;;;;x,,
gtfo_LNG_desc;We've had a good run, but it's time to end our rulership of Liang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Milan Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Milan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOT_title;Grant Lotharingia Independence;;;;;;;;;;;;x,,
gtfo_LOT_desc;We've had a good run, but it's time to end our rulership of Lotharingia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUA_title;Grant Luang Prabang Independence;;;;;;;;;;;;x,,
gtfo_LUA_desc;We've had a good run, but it's time to end our rulership of Luang Prabang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUN_title;Grant Lunda Independence;;;;;;;;;;;;x,,
gtfo_LUN_desc;We've had a good run, but it's time to end our rulership of Lunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAW_title;Grant Malwa Independence;;;;;;;;;;;;x,,
gtfo_MAW_desc;We've had a good run, but it's time to end our rulership of Malwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCA_title;Grant Muisca Independence;;;;;;;;;;;;x,,
gtfo_MCA_desc;We've had a good run, but it's time to end our rulership of Muisca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MED_title;Grant Medri Bahri Independence;;;;;;;;;;;;x,,
